t,ey,epsi,delta
0.000000,1.000000,0.200000,-0.600000
0.050000,1.100000,0.080000,-0.600000
0.100000,1.140000,-0.040000,-0.600000
0.150000,1.120000,-0.160000,-0.600000
0.200000,1.040000,-0.280000,-0.600000
0.250000,0.900000,-0.400000,-0.070621
0.300000,0.700000,-0.414124,0.310366
0.350000,0.492938,-0.352051,0.432835
0.400000,0.316912,-0.265484,0.417096
0.450000,0.184170,-0.182065,0.340907
0.500000,0.093138,-0.113883,0.249743
0.550000,0.036196,-0.063935,0.166831
0.600000,0.004229,-0.030568,0.101402
0.650000,-0.011055,-0.010288,0.054774
0.700000,-0.016199,0.000667,0.024438
0.750000,-0.015866,0.005554,0.006555
0.800000,-0.013089,0.006865,-0.002689
0.850000,-0.009656,0.006327,-0.006461
0.900000,-0.006493,0.005035,-0.007113
0.950000,-0.003975,0.003613,-0.006234
1.000000,-0.002169,0.002366,-0.004801
1.050000,-0.000986,0.001406,-0.003353
1.100000,-0.000283,0.000735,-0.002138
1.150000,0.000084,0.000307,-0.001230
1.200000,0.000238,0.000061,-0.000612
1.250000,0.000269,-0.000061,-0.000229
1.300000,0.000238,-0.000107,-0.000016
1.350000,0.000185,-0.000110,0.000084
1.400000,0.000130,-0.000093,0.000115
1.450000,0.000083,-0.000070,0.000111
1.500000,0.000048,-0.000048,0.000090
1.550000,0.000024,-0.000030,0.000066
1.600000,0.000009,-0.000017,0.000044
1.650000,0.000001,-0.000008,0.000027
1.700000,-0.000003,-0.000003,0.000014
1.750000,-0.000004,0.000000,0.000006
1.800000,-0.000004,0.000001,0.000002
1.850000,-0.000003,0.000002,-0.000001
1.900000,-0.000003,0.000002,-0.000002
1.950000,-0.000002,0.000001,-0.000002
2.000000,-0.000001,0.000001,-0.000002
2.050000,-0.000001,0.000001,-0.000001
2.100000,-0.000000,0.000000,-0.000001
2.150000,-0.000000,0.000000,-0.000001
2.200000,0.000000,0.000000,-0.000000
2.250000,0.000000,0.000000,-0.000000
2.300000,0.000000,-0.000000,-0.000000
2.350000,0.000000,-0.000000,-0.000000
2.400000,0.000000,-0.000000,0.000000
2.450000,0.000000,-0.000000,0.000000
2.500000,0.000000,-0.000000,0.000000
2.550000,0.000000,-0.000000,0.000000
2.600000,0.000000,-0.000000,0.000000
2.650000,0.000000,-0.000000,0.000000
2.700000,0.000000,-0.000000,0.000000
2.750000,-0.000000,-0.000000,0.000000
2.800000,-0.000000,0.000000,0.000000
2.850000,-0.000000,0.000000,0.000000
2.900000,-0.000000,0.000000,-0.000000
2.950000,-0.000000,0.000000,-0.000000
3.000000,-0.000000,0.000000,-0.000000
3.050000,-0.000000,0.000000,-0.000000
3.100000,-0.000000,0.000000,-0.000000
3.150000,-0.000000,0.000000,-0.000000
3.200000,-0.000000,0.000000,-0.000000
3.250000,0.000000,0.000000,-0.000000
3.300000,0.000000,0.000000,-0.000000
3.350000,0.000000,-0.000000,-0.000000
3.400000,0.000000,-0.000000,-0.000000
3.450000,0.000000,-0.000000,0.000000
3.500000,0.000000,-0.000000,0.000000
3.550000,0.000000,-0.000000,0.000000
3.600000,0.000000,-0.000000,0.000000
3.650000,0.000000,-0.000000,0.000000
3.700000,0.000000,-0.000000,0.000000
3.750000,0.000000,-0.000000,0.000000
3.800000,-0.000000,-0.000000,0.000000
3.850000,-0.000000,0.000000,0.000000
3.900000,-0.000000,0.000000,0.000000
3.950000,-0.000000,0.000000,-0.000000
4.000000,-0.000000,0.000000,-0.000000
4.050000,-0.000000,0.000000,-0.000000
4.100000,-0.000000,0.000000,-0.000000
4.150000,-0.000000,0.000000,-0.000000
4.200000,-0.000000,0.000000,-0.000000
4.250000,-0.000000,0.000000,-0.000000
4.300000,0.000000,0.000000,-0.000000
4.350000,0.000000,0.000000,-0.000000
4.400000,0.000000,-0.000000,-0.000000
4.450000,0.000000,-0.000000,-0.000000
4.500000,0.000000,-0.000000,0.000000
4.550000,0.000000,-0.000000,0.000000
4.600000,0.000000,-0.000000,0.000000
4.650000,0.000000,-0.000000,0.000000
4.700000,0.000000,-0.000000,0.000000
4.750000,0.000000,-0.000000,0.000000
4.800000,0.000000,-0.000000,0.000000
4.850000,-0.000000,-0.000000,0.000000
4.900000,-0.000000,0.000000,0.000000
4.950000,-0.000000,0.000000,0.000000
5.000000,-0.000000,0.000000,-0.000000
5.050000,-0.000000,0.000000,-0.000000
5.100000,-0.000000,0.000000,-0.000000
5.150000,-0.000000,0.000000,-0.000000
5.200000,-0.000000,0.000000,-0.000000
5.250000,-0.000000,0.000000,-0.000000
5.300000,-0.000000,0.000000,-0.000000
5.350000,0.000000,0.000000,-0.000000
5.400000,0.000000,0.000000,-0.000000
5.450000,0.000000,-0.000000,-0.000000
5.500000,0.000000,-0.000000,-0.000000
5.550000,0.000000,-0.000000,0.000000
5.600000,0.000000,-0.000000,0.000000
5.650000,0.000000,-0.000000,0.000000
5.700000,0.000000,-0.000000,0.000000
5.750000,0.000000,-0.000000,0.000000
5.800000,0.000000,-0.000000,0.000000
5.850000,0.000000,-0.000000,0.000000
5.900000,-0.000000,-0.000000,0.000000
5.950000,-0.000000,0.000000,0.000000
6.000000,-0.000000,0.000000,0.000000
6.050000,-0.000000,0.000000,-0.000000
6.100000,-0.000000,0.000000,-0.000000
6.150000,-0.000000,0.000000,-0.000000
6.200000,-0.000000,0.000000,-0.000000
6.250000,-0.000000,0.000000,-0.000000
6.300000,-0.000000,0.000000,-0.000000
6.350000,-0.000000,0.000000,-0.000000
6.400000,0.000000,0.000000,-0.000000
6.450000,0.000000,0.000000,-0.000000
6.500000,0.000000,-0.000000,-0.000000
6.550000,0.000000,-0.000000,-0.000000
6.600000,0.000000,-0.000000,0.000000
6.650000,0.000000,-0.000000,0.000000
6.700000,0.000000,-0.000000,0.000000
6.750000,0.000000,-0.000000,0.000000
6.800000,0.000000,-0.000000,0.000000
6.850000,0.000000,-0.000000,0.000000
6.900000,0.000000,-0.000000,0.000000
6.950000,-0.000000,-0.000000,0.000000
7.000000,-0.000000,0.000000,0.000000
7.050000,-0.000000,0.000000,0.000000
7.100000,-0.000000,0.000000,-0.000000
7.150000,-0.000000,0.000000,-0.000000
7.200000,-0.000000,0.000000,-0.000000
7.250000,-0.000000,0.000000,-0.000000
7.300000,-0.000000,0.000000,-0.000000
7.350000,-0.000000,0.000000,-0.000000
7.400000,-0.000000,0.000000,-0.000000
7.450000,0.000000,0.000000,-0.000000
7.500000,0.000000,0.000000,-0.000000
7.550000,0.000000,-0.000000,-0.000000
7.600000,0.000000,-0.000000,-0.000000
7.650000,0.000000,-0.000000,0.000000
7.700000,0.000000,-0.000000,0.000000
7.750000,0.000000,-0.000000,0.000000
7.800000,0.000000,-0.000000,0.000000
7.850000,0.000000,-0.000000,0.000000
7.900000,0.000000,-0.000000,0.000000
7.950000,0.000000,-0.000000,0.000000
8.000000,-0.000000,-0.000000,0.000000
8.050000,-0.000000,0.000000,0.000000
8.100000,-0.000000,0.000000,0.000000
8.150000,-0.000000,0.000000,-0.000000
8.200000,-0.000000,0.000000,-0.000000
8.250000,-0.000000,0.000000,-0.000000
8.300000,-0.000000,0.000000,-0.000000
8.350000,-0.000000,0.000000,-0.000000
8.400000,-0.000000,0.000000,-0.000000
8.450000,-0.000000,0.000000,-0.000000
8.500000,0.000000,0.000000,-0.000000
8.550000,0.000000,0.000000,-0.000000
8.600000,0.000000,-0.000000,-0.000000
8.650000,0.000000,-0.000000,0.000000
8.700000,0.000000,-0.000000,0.000000
8.750000,0.000000,-0.000000,0.000000
8.800000,0.000000,-0.000000,0.000000
8.850000,0.000000,-0.000000,0.000000
8.900000,0.000000,-0.000000,0.000000
8.950000,0.000000,-0.000000,0.000000
9.000000,0.000000,-0.000000,0.000000
9.050000,-0.000000,-0.000000,0.000000
9.100000,-0.000000,0.000000,0.000000
9.150000,-0.000000,0.000000,0.000000
9.200000,-0.000000,0.000000,-0.000000
9.250000,-0.000000,0.000000,-0.000000
9.300000,-0.000000,0.000000,-0.000000
9.350000,-0.000000,0.000000,-0.000000
9.400000,-0.000000,0.000000,-0.000000
9.450000,-0.000000,0.000000,-0.000000
9.500000,-0.000000,0.000000,-0.000000
9.550000,0.000000,0.000000,-0.000000
9.600000,0.000000,0.000000,-0.000000
9.650000,0.000000,-0.000000,-0.000000
9.700000,0.000000,-0.000000,0.000000
9.750000,0.000000,-0.000000,0.000000
9.800000,0.000000,-0.000000,0.000000
9.850000,0.000000,-0.000000,0.000000
9.900000,0.000000,-0.000000,0.000000
9.950000,0.000000,-0.000000,0.000000
10.000000,0.000000,-0.000000,0.000000
10.050000,0.000000,-0.000000,0.000000
10.100000,-0.000000,-0.000000,0.000000
10.150000,-0.000000,0.000000,0.000000
10.200000,-0.000000,0.000000,0.000000
10.250000,-0.000000,0.000000,-0.000000
10.300000,-0.000000,0.000000,-0.000000
10.350000,-0.000000,0.000000,-0.000000
10.400000,-0.000000,0.000000,-0.000000
10.450000,-0.000000,0.000000,-0.000000
10.500000,-0.000000,0.000000,-0.000000
10.550000,-0.000000,0.000000,-0.000000
10.600000,0.000000,0.000000,-0.000000
10.650000,0.000000,0.000000,-0.000000
10.700000,0.000000,-0.000000,-0.000000
10.750000,0.000000,-0.000000,0.000000
10.800000,0.000000,-0.000000,0.000000
10.850000,0.000000,-0.000000,0.000000
10.900000,0.000000,-0.000000,0.000000
10.950000,0.000000,-0.000000,0.000000
11.000000,0.000000,-0.000000,0.000000
11.050000,0.000000,-0.000000,0.000000
11.100000,0.000000,-0.000000,0.000000
11.150000,-0.000000,-0.000000,0.000000
11.200000,-0.000000,0.000000,0.000000
11.250000,-0.000000,0.000000,0.000000
11.300000,-0.000000,0.000000,-0.000000
11.350000,-0.000000,0.000000,-0.000000
11.400000,-0.000000,0.000000,-0.000000
11.450000,-0.000000,0.000000,-0.000000
11.500000,-0.000000,0.000000,-0.000000
11.550000,-0.000000,0.000000,-0.000000
11.600000,-0.000000,0.000000,-0.000000
11.650000,0.000000,0.000000,-0.000000
11.700000,0.000000,0.000000,-0.000000
11.750000,0.000000,-0.000000,-0.000000
11.800000,0.000000,-0.000000,0.000000
11.850000,0.000000,-0.000000,0.000000
11.900000,0.000000,-0.000000,0.000000
11.950000,0.000000,-0.000000,0.000000
12.000000,0.000000,-0.000000,0.000000
12.050000,0.000000,-0.000000,0.000000
12.100000,0.000000,-0.000000,0.000000
12.150000,0.000000,-0.000000,0.000000
12.200000,-0.000000,-0.000000,0.000000
12.250000,-0.000000,0.000000,0.000000
12.300000,-0.000000,0.000000,0.000000
12.350000,-0.000000,0.000000,-0.000000
12.400000,-0.000000,0.000000,-0.000000
12.450000,-0.000000,0.000000,-0.000000
12.500000,-0.000000,0.000000,-0.000000
12.550000,-0.000000,0.000000,-0.000000
12.600000,-0.000000,0.000000,-0.000000
12.650000,-0.000000,0.000000,-0.000000
12.700000,0.000000,0.000000,-0.000000
12.750000,0.000000,0.000000,-0.000000
12.800000,0.000000,-0.000000,-0.000000
12.850000,0.000000,-0.000000,0.000000
12.900000,0.000000,-0.000000,0.000000
12.950000,0.000000,-0.000000,0.000000
13.000000,0.000000,-0.000000,0.000000
13.050000,0.000000,-0.000000,0.000000
13.100000,0.000000,-0.000000,0.000000
13.150000,0.000000,-0.000000,0.000000
13.200000,-0.000000,-0.000000,0.000000
13.250000,-0.000000,-0.000000,0.000000
13.300000,-0.000000,0.000000,0.000000
13.350000,-0.000000,0.000000,0.000000
13.400000,-0.000000,0.000000,-0.000000
13.450000,-0.000000,0.000000,-0.000000
13.500000,-0.000000,0.000000,-0.000000
13.550000,-0.000000,0.000000,-0.000000
13.600000,-0.000000,0.000000,-0.000000
13.650000,-0.000000,0.000000,-0.000000
13.700000,-0.000000,0.000000,-0.000000
13.750000,0.000000,0.000000,-0.000000
13.800000,0.000000,0.000000,-0.000000
13.850000,0.000000,-0.000000,-0.000000
13.900000,0.000000,-0.000000,0.000000
13.950000,0.000000,-0.000000,0.000000
14.000000,0.000000,-0.000000,0.000000
14.050000,0.000000,-0.000000,0.000000
14.100000,0.000000,-0.000000,0.000000
14.150000,0.000000,-0.000000,0.000000
14.200000,0.000000,-0.000000,0.000000
14.250000,-0.000000,-0.000000,0.000000
14.300000,-0.000000,-0.000000,0.000000
14.350000,-0.000000,0.000000,0.000000
14.400000,-0.000000,0.000000,0.000000
14.450000,-0.000000,0.000000,-0.000000
14.500000,-0.000000,0.000000,-0.000000
14.550000,-0.000000,0.000000,-0.000000
14.600000,-0.000000,0.000000,-0.000000
14.650000,-0.000000,0.000000,-0.000000
14.700000,-0.000000,0.000000,-0.000000
14.750000,-0.000000,0.000000,-0.000000
14.800000,0.000000,0.000000,-0.000000
14.850000,0.000000,0.000000,-0.000000
14.900000,0.000000,-0.000000,-0.000000
14.950000,0.000000,-0.000000,0.000000
15.000000,0.000000,-0.000000,0.000000
15.050000,0.000000,-0.000000,0.000000
15.100000,0.000000,-0.000000,0.000000
15.150000,0.000000,-0.000000,0.000000
15.200000,0.000000,-0.000000,0.000000
15.250000,0.000000,-0.000000,0.000000
15.300000,-0.000000,-0.000000,0.000000
15.350000,-0.000000,-0.000000,0.000000
15.400000,-0.000000,0.000000,0.000000
